Price,Close,High,Low,Open,Volume
Ticker,EFX,EFX,EFX,EFX,EFX
Date,,,,,
2018-01-02,111.30748748779297,111.35403981175588,109.28693334534239,110.03183446449091,1674500
2018-01-03,111.88479614257812,112.06170634699069,110.96297058160219,111.44716307697833,1493700
2018-01-04,113.26284790039062,113.50494410688036,112.1268662052892,112.14549281561861,1237000
2018-01-05,114.37094116210938,114.45473962919604,113.11391442799754,113.53292097137711,848200
2018-01-08,113.5887451171875,114.47332442466355,113.49563337534016,114.47332442466355,2727300
2018-01-09,113.83085632324219,114.44540668753164,113.27217869459726,113.59807338597584,720100
2018-01-10,112.83454895019531,113.70981509329687,112.52727375902498,113.64463615310665,1026700
2018-01-11,113.12318420410156,113.6911750891355,112.57381993062626,112.95558021992808,1078900
2018-01-12,114.3895263671875,114.48263811512588,112.97420932819944,113.67255809369384,1118500
2018-01-16,113.74707794189453,114.43611356864392,113.42117608905201,114.36162131062433,1014400
2018-01-17,114.73405456542969,117.08981673974094,113.25355139926762,114.17537694014966,978900
2018-01-18,114.38023376464844,115.09720927188958,114.02640621684945,114.43610650670155,929300
2018-01-19,115.953857421875,116.64289305689574,114.67821123184682,114.93892703407235,1177900
2018-01-22,116.3914566040039,117.04324591939803,115.46032495117187,115.55343669566093,1326400
2018-01-23,116.38212585449219,117.05254168068166,115.83276167156839,116.38212585449219,923200
2018-01-24,117.07120513916016,117.6485023125602,116.48458755461249,116.90360112985681,1500500
2018-01-25,118.02094268798828,118.6634258326966,117.08049768416342,117.51813071873453,1045700
2018-01-26,118.70999145507812,118.93346820243146,117.86266520927204,118.7844837041959,1087900
2018-01-29,116.17729949951172,118.60755381353692,115.60931569613007,118.46788974121338,1005700
2018-01-30,114.60369873046875,116.52182788287678,114.49196036183439,115.29273424378506,1576100
2018-01-31,116.32628631591797,117.03394841376391,114.44540336318815,115.29272953615984,887700
2018-02-01,115.60001373291016,116.43803376893531,114.98546333850109,116.25180314761205,676500
2018-02-02,113.12318420410156,114.92026860508402,112.73211060902041,114.92026860508402,1661100
2018-02-05,110.24598693847656,114.75266063925972,109.97595791201252,112.57381602457627,1452100
2018-02-06,110.25534057617188,111.25165150532182,108.01130910638216,108.15098032343505,1462500
2018-02-07,109.50108337402344,112.34103781955902,109.29623326923452,110.08770087482276,1126100
