Price,Close,High,Low,Open,Volume
Ticker,ELV,ELV,ELV,ELV,ELV
Date,,,,,
2018-01-02,203.55653381347656,204.09695488736406,201.52997540161675,202.65584118598332,1291400
2018-01-03,206.39376831054688,206.75405370925782,202.7099377234297,205.24088252163727,1302000
2018-01-04,207.34849548339844,208.42932409443247,206.13255470630924,206.79907232579626,1063000
2018-01-05,211.068359375,211.24849519647802,207.0512769564592,207.33048954127247,1427600
2018-01-08,208.798583984375,210.30273911298997,207.81681851667332,210.30273911298997,1630800
2018-01-09,211.35658264160156,212.0861416344452,208.06904556826214,208.79861830458768,1777100
2018-01-10,210.6630401611328,211.4556542295141,209.02378639836795,209.924479205717,851200
2018-01-11,211.66281127929688,213.46419690720577,210.6720436865543,210.7621184653424,1520300
2018-01-12,216.00416564941406,216.52655540758272,213.97760673911375,215.3826853846315,1916500
2018-01-16,217.742431640625,219.59785616009532,216.68862296918246,217.24704797196102,1513800
2018-01-17,224.40762329101562,225.20923939639044,218.11178891915037,218.8773696133384,1712100
2018-01-18,224.8579864501953,225.3984077103308,222.48015764386963,225.3984077103308,1205700
2018-01-19,225.227294921875,225.78572019769783,224.58781057249433,225.75870050651187,1523500
2018-01-22,225.62356567382812,225.99285305180993,223.37183348147454,225.30831766950558,1267400
2018-01-23,225.62356567382812,225.78568379480592,224.0113314712353,225.59654598699848,1007300
2018-01-24,227.86630249023438,228.65890289934978,225.21826315631054,226.15497772834988,1472800
2018-01-25,226.38916015625,229.14527816121603,225.3713728072136,227.79423884556738,1075800
2018-01-26,232.54986572265625,232.8560979623829,225.27226657829354,226.3891305474788,1213300
2018-01-29,231.49606323242188,233.315480356092,230.64042152885156,231.19884669026808,1975900
2018-01-30,219.26467895507812,224.69585597275122,215.69792906981624,219.59793092587776,4527900
2018-01-31,223.2366943359375,241.340623358263,220.50759651598563,234.36924307096166,4063300
2018-02-01,219.7060089111328,224.20047135636764,217.88661917816108,222.84943202843746,2001700
2018-02-02,215.42776489257812,219.62499795579788,214.9233789652958,218.01276338512864,1380000
2018-02-05,207.56460571289062,215.86899253602186,205.18677781247317,214.4639142871586,2016400
