Price,Close,High,Low,Open,Volume
Ticker,FIS,FIS,FIS,FIS,FIS
Date,,,,,
2018-01-02,81.10425567626953,81.90058852496132,80.71475014017079,81.63225617868109,1231700
2018-01-03,81.58030700683594,81.75341907514392,80.99171672926583,81.05230661355384,1370600
2018-01-04,82.18623352050781,82.72289167903017,81.64958196578978,81.64958196578978,1673900
2018-01-05,82.65361785888672,82.65361785888672,81.73611199335771,82.35066843194811,1721000
2018-01-08,82.86137390136719,83.39802537343229,82.28143449861462,82.55841782078467,1185900
2018-01-09,83.12968444824219,83.24220663225674,82.68824008913542,82.91329106096661,1338500
2018-01-10,84.20298767089844,84.21164525482386,82.61898660642872,83.12102081327731,2110700
2018-01-11,84.63577270507812,84.65308787257936,84.01255875106331,84.24626728571961,1239200
2018-01-12,84.4886474609375,84.81756308207675,83.88274852625914,84.70504088100878,1773300
2018-01-16,84.10777282714844,85.13780737373276,83.91734560638815,84.65308834183497,1448600
2018-01-17,84.47998046875,84.80024507216515,84.17703103514235,84.62712639310195,1407300
2018-01-18,84.42803955078125,84.87813486280719,84.40207340252229,84.78292124998987,1235500
2018-01-19,85.23302459716797,85.33688919194805,84.50593941469839,84.71368181186216,1627100
2018-01-22,85.85624694824219,85.86489792944907,85.18110060116754,85.37152124475588,1111900
2018-01-23,85.8043212890625,86.3929116883218,85.6398667713101,85.71776523701332,971600
2018-01-24,87.04206848144531,87.25846185503984,85.88220316880347,86.21111871929854,1542900
2018-01-25,87.85569763183594,88.11537228606117,87.02474798363625,87.1286191660865,1194500
2018-01-26,89.0501937866211,89.21465485465048,87.92495226860264,88.11537948341534,1419700
2018-01-29,88.88574981689453,89.71669963107506,88.71263114489729,89.07617705419047,1248400
2018-01-30,88.85979461669922,89.22333396698706,88.44431635651104,88.60011987860624,1222100
2018-01-31,88.60010528564453,89.30987530188538,88.43564420501984,88.86843096135698,1500400
2018-02-01,88.38370513916016,89.05019378720768,88.04613202337227,88.54816620719063,1530800
2018-02-02,87.25846099853516,88.47892278345337,87.23249485056695,87.90764111294656,1612600
2018-02-05,84.13372039794922,87.77778972777234,83.98657452487039,87.06801329663904,2636000
2018-02-06,82.85269927978516,83.27682846007033,80.02227014089354,82.53243469658094,5946300
2018-02-07,83.76154327392578,85.00797120608021,82.64495928913932,82.87000364059928,3099800
2018-02-08,80.27327728271484,84.81753774682785,80.23000257390873,83.80481842830923,3058300
2018-02-09,82.25544738769531,82.85269520675809,79.73663197527709,80.83590739775617,2572000
2018-02-12,82.35932159423828,83.42397332371173,82.14292821464427,82.89597294919821,1789900
2018-02-13,83.2422103881836,83.34608159613134,81.7361141938544,82.29873834691719,1144100
2018-02-14,83.0950698852539,83.44995824938087,82.51513712825908,82.81808658312184,1590800
2018-02-15,83.57978057861328,83.58843816325079,82.68824087121392,83.37204477392852,1538100
2018-02-16,84.6704330444336,84.96473158498432,83.56249958218122,83.56249958218122,1098100
2018-02-20,84.23762512207031,84.83487303796385,83.34608534279907,84.16837764699225,1501200
2018-02-21,84.0904541015625,85.62251605870047,84.08179651881011,84.43668476985039,1215000
2018-02-22,84.8521957397461,85.82164074092366,84.18570684155164,84.51462249726005,2315300
2018-02-23,86.40156555175781,86.41887411990047,84.89546917882627,85.35422217834312,1805300
2018-02-26,86.48810577392578,87.50948280632674,86.30633612457501,86.5660108258201,2047900
