Price,Close,High,Low,Open,Volume
Ticker,HUBB,HUBB,HUBB,HUBB,HUBB
Date,,,,,
2018-01-02,113.67852020263672,115.58023006242911,113.50910621129375,114.805141986983,376803
2018-01-03,112.95000457763672,114.85891351537515,112.57728612004003,113.79708728109965,419888
2018-01-04,114.80510711669922,114.8898205493698,113.47519411686558,113.47519411686558,319602
2018-01-05,115.14393615722656,115.29641775247975,114.7627515572764,115.0931132672939,305535
2018-01-08,115.2455825805664,115.6691238521411,114.74580698221718,115.07616865702728,252616
2018-01-09,114.50016784667969,115.3641958261366,113.22107761347436,115.0761908081364,317385
2018-01-10,113.6446304321289,114.42394504940746,113.08555268751898,114.11052855263719,622799
2018-01-11,114.60182189941406,114.66536344732658,113.05589843420192,114.00886654740276,363908
2018-01-12,117.1854019165039,120.00618848065648,116.62632430729433,116.89739693919758,370888
2018-01-16,115.49974060058594,118.01557745587881,115.44043860259946,117.48191117582964,251837
2018-01-17,115.37264251708984,116.13502457920494,115.1947624170809,115.87241812724433,271078
2018-01-18,117.32942962646484,119.60808434208839,116.21975326766403,116.21975326766403,414606
2018-01-19,117.16000366210938,118.1934455680338,116.77881904035665,117.9308520047254,331154
2018-01-22,117.37177276611328,118.25274598176138,115.99102387693824,117.55813198767515,240932
2018-01-23,116.49925994873047,117.72752703880158,116.34679129672125,117.25316288750132,234017
2018-01-24,115.76229858398438,117.19387008981755,115.37263494331161,117.10915666888117,207581
2018-01-25,117.04985809326172,117.05833719087393,114.80509455314994,116.49079344536366,351030
2018-01-26,117.9223861694336,118.15778457407501,116.03338247710298,117.28707415620413,438932
2018-01-29,116.92282104492188,118.12567689698331,116.74494092074451,117.60895594623209,429009
2018-01-30,117.57511138916016,126.24076600537455,117.43957502041694,125.40214926491785,729867
2018-01-31,115.16089630126953,118.74405268426965,114.50863897017031,118.74405268426965,880602
2018-02-01,116.22821044921875,118.48991946382694,114.30108975878373,115.18628953399042,533150
2018-02-02,113.38204956054688,115.87246239018155,113.0262633737114,115.59293641196082,367661
2018-02-05,109.18893432617188,112.97539431714146,108.93481990432464,112.87374854840256,481033
2018-02-06,110.55276489257812,110.7476032311309,107.35079959888338,107.47785684102043,475084
2018-02-07,112.48411560058594,113.4836799927296,110.59512463825631,110.59512463825631,470773
2018-02-08,109.82427215576172,113.69544648477519,109.64639201847997,112.26387458499484,341558
2018-02-09,111.89964294433594,113.15332186802189,108.9771969467341,111.48456771956376,435529
2018-02-12,112.93302917480469,114.27988705771912,111.41886424944917,112.78901379571951,649814
2018-02-13,113.1533203125,113.8055776780446,112.4756514973654,112.78060181790309,237848
2018-02-14,115.00843048095703,115.12278200092602,112.25963812262032,112.66200760568063,321074
2018-02-15,115.45738220214844,115.92750692740421,114.65265616921928,115.52515037366818,195548
2018-02-16,114.75428771972656,116.18585946742456,114.68651955661865,115.09311560981067,253317
2018-02-20,112.91609954833984,114.53403022133986,112.62385505254574,114.01730938063395,257646
2018-02-21,113.5006103515625,115.14393985581043,112.78905109328336,112.78905109328336,432819
2018-02-22,113.83943176269531,115.02534224986583,113.58530439388595,114.07661386012941,306643
2018-02-23,113.94953918457031,114.94909030987435,112.90761842459051,114.48319235932885,141968
2018-02-26,113.85639190673828,114.37311288481467,112.94154101479369,114.33922233763714,360279
2018-02-27,113.4730224609375,115.21102230878154,113.41337877501596,114.0608793653342,376142
2018-02-28,111.64978790283203,114.23123554248393,111.62423004500796,113.73709529133923,229908
2018-03-01,110.34628295898438,112.38247459133765,109.43467604830168,111.68385849157028,239902
2018-03-02,109.34098052978516,110.02246285583298,107.6626180780365,109.57101428964583,378771
2018-03-05,109.76695251464844,109.90326976767652,108.36973317093249,109.15353787595083,308550
2018-03-06,110.13330841064453,110.26109771609246,108.15674715352102,109.86067389244984,480221
2018-03-07,107.1173324584961,112.03315710016996,106.45705970030855,109.3068775501891,793657
2018-03-08,107.3473892211914,108.03747750048171,104.78297754758387,107.17699913987391,879464
2018-03-09,107.60297393798828,108.96611400094712,107.14291294799634,107.96079698577162,578601
2018-03-12,106.56356811523438,108.48048548611139,106.24833936314756,107.75631800155064,503975
2018-03-13,106.95549774169922,107.86709841964087,105.72866823121115,106.52099454007376,1203599
2018-03-14,107.62850952148438,108.63382632857831,107.10889596395103,107.6540673767554,513860
2018-03-15,106.46985626220703,108.51456951333464,106.35909687154344,107.45813032527408,503439
2018-03-16,107.65409088134766,109.45173409414673,106.62304699482735,106.70841103006606,974858
2018-03-19,106.8958511352539,107.4325857488013,105.95869267510676,107.4325857488013,382190
2018-03-20,106.85324096679688,108.39529903829151,106.6998873049898,107.21106401102523,228859
2018-03-21,106.8021240234375,108.17378551057361,106.47838029664655,106.69137113005321,238578
2018-03-22,103.55614471435547,106.52097344424799,103.46242822864397,105.68605302604551,318516
2018-03-23,100.8298568725586,103.85432923606399,100.8128204662695,103.326109641603,441003
2018-03-26,102.07373809814453,102.49971981994626,100.94063165812547,102.26969255015803,461759
2018-03-27,101.85221099853516,103.52205821905105,101.49438148702441,102.40598192118269,429868
2018-03-28,102.12486267089844,102.6488183807614,101.38365211794776,102.24413703574585,339589
2018-03-29,103.75208282470703,104.34846099554493,102.47413795857916,102.84900386596506,436394
2018-04-02,99.9693832397461,103.67542926692808,99.40709077008222,103.67542926692808,329074
2018-04-03,100.77874755859375,100.92357977113045,99.10898463721664,100.08013785698569,515981
2018-04-04,101.07691955566406,101.4943797285693,98.20580106045983,99.20260300387568,704553
2018-04-05,102.23561096191406,102.61899190303521,101.04286086736538,101.80962924957275,379118
2018-04-06,100.0119857788086,102.67011400049185,98.97258936199721,101.80962912264496,374029
2018-04-09,99.99494934082031,101.24733011320224,99.91826925273526,100.68503763376047,307368
2018-04-10,101.40066528320312,102.661573779651,100.65093994745492,101.40066528320312,260082
2018-04-11,99.92680358886719,100.7702456667434,98.93000781501657,100.58281264944516,341361
2018-04-12,100.83838653564453,101.32400540397408,99.75638939921383,100.55723705925249,301255
2018-04-13,100.9150390625,102.05667313752302,100.59981683653214,101.57957582256837,260657
2018-04-16,102.08223724365234,102.6189717558378,100.99172531415337,101.80108780871358,283230
2018-04-17,102.87457275390625,103.27499656155551,102.14188376543407,102.88309420725065,440825
2018-04-18,103.91395568847656,104.6296016781499,103.0193917014213,103.32609898269948,386823
2018-04-19,103.0108871459961,103.58170100489004,102.53718925268704,103.58170100489004,291541
2018-04-20,101.93739318847656,103.34313369963506,101.46028939986357,103.34313369963506,279601
2018-04-23,101.26435852050781,103.36870891487918,100.97895159454549,102.24411761707297,441574
2018-04-24,93.16218566894531,101.93741026966313,92.04611582456887,101.93741026966313,1193846
2018-04-25,91.93538665771484,92.8086440666401,89.54136474407646,89.73731921386292,1022582
2018-04-26,90.45294189453125,91.68829257805552,90.03548169801262,91.68829257805552,753747
2018-04-27,89.26871490478516,90.35071195237985,88.5104680761389,90.30811118674004,701995
2018-04-30,88.48490905761719,89.26871373539404,86.68726597056461,89.20907656425807,913975
2018-05-01,87.33477020263672,88.66042504881204,85.66492271387837,88.5871574441967,804481
2018-05-02,87.64997100830078,88.84272077920716,87.54347560911206,87.7266510756976,719686
2018-05-03,87.44551086425781,88.70641938332905,87.0450870811751,87.41143155293545,575942
2018-05-04,88.57862854003906,89.04720447198333,86.81506470534596,87.06213485126467,563233
2018-05-07,89.2516860961914,89.67766778899497,88.64764436779427,89.05573165751727,399106
2018-05-08,88.47639465332031,89.66914467102762,88.24636740345986,89.02165068999257,837249
2018-05-09,89.21760559082031,89.57542864801124,88.30600504037788,88.30600504037788,438920
2018-05-10,88.84274291992188,89.72878564198051,88.39972480887504,89.4391212039816,378195
2018-05-11,89.2090835571289,90.0695683795113,88.59566889166679,89.0727727981177,428678
2018-05-14,89.33686065673828,89.87359512665181,88.76553338211534,89.35389706056078,255440
2018-05-15,89.61802673339844,89.74581603573704,88.92793200094741,88.98756917536026,413933
2018-05-16,90.03546905517578,90.81075216841606,89.73728324239106,89.73728324239106,312843
2018-05-17,90.33367156982422,91.15922555125664,89.8991684480233,90.36775088329532,459719
2018-05-18,90.0525131225586,90.67444915640696,89.62653149662414,90.67444915640696,547493
2018-05-21,91.04932403564453,91.82460729123007,90.70001594798856,91.08340334907177,594991
2018-05-22,94.24417877197266,94.90018762644009,90.84484066256798,91.20267017405953,1575709
2018-05-23,94.02266693115234,94.86610874786999,93.33257876292554,93.71595963417067,710106
2018-05-24,94.72981262207031,95.15579432250237,93.60947866994522,94.04823930139305,534981
2018-05-25,94.1675033569336,94.9001923215282,93.3240615023288,94.21861907540533,528966
2018-05-29,92.50615692138672,94.3378789252566,92.12276961827195,93.38367789301763,628384
2018-05-30,94.4882583618164,94.99450359444164,92.77216217574454,93.14112311760549,507985
