Price,Close,High,Low,Open,Volume
Ticker,INTU,INTU,INTU,INTU,INTU
Date,,,,,
2018-01-02,149.86436462402344,149.98711600388026,148.24976616317682,149.39226166449902,1436100
2018-01-03,150.27981567382812,150.44032894918735,148.939045014264,149.4016966881115,1410900
2018-01-04,152.97079467773438,154.67981948138777,150.5630811271207,150.5630811271207,1695000
2018-01-05,154.95362854003906,155.36908143510215,153.43345648716104,153.7167211344712,1071900
2018-01-08,155.0480499267578,155.35018830875885,154.22658103511918,154.87808538083885,1185800
2018-01-09,156.0229034423828,156.2879093319112,154.0542779475021,155.35091493853295,1098300
2018-01-10,154.75466918945312,155.76738177616195,153.84608154927002,155.5780938879355,1095400
2018-01-11,154.27195739746094,155.48341701186885,153.56211710268735,154.7641173788572,813700
2018-01-12,155.7010955810547,156.1080781885361,154.2056969771415,154.34767369954844,651800
2018-01-16,153.59996032714844,157.57507730947603,153.16459972468505,156.16485613685128,1385000
2018-01-17,155.492919921875,155.8620364009205,154.20574191566013,155.10488476105206,903200
2018-01-18,155.59698486328125,156.12701107437965,154.84929278330526,155.11429866798568,980800
2018-01-19,158.75819396972656,158.8339120202606,155.80524776586446,156.10811996800066,1555400
2018-01-22,159.6383514404297,159.76139504863917,158.19027836587983,158.76761572801485,1042600
2018-01-23,159.43959045410156,160.698361117406,158.76760199887772,159.95066907785596,1058800
2018-01-24,158.57830810546875,160.49960781310065,157.95364524557976,159.6099390929684,860600
2018-01-25,158.8338623046875,159.742449743222,157.376315561172,159.03260948860702,740000
2018-01-26,161.31361389160156,161.45557620770688,159.1840924995746,159.51534271773406,751700
2018-01-29,160.14939880371094,161.30405875641628,159.2597302268413,160.85923890971537,939800
2018-01-30,159.47743225097656,160.8971126567716,158.37008326746474,160.62264746601502,1189200
2018-01-31,158.9095458984375,159.93171746949898,158.02935102548005,159.5720749394527,1314500
2018-02-01,156.78009033203125,159.430164268399,156.08918299534224,158.5878208343767,1499900
2018-02-02,154.6694793701172,157.49938145139967,154.66002003107548,155.68219187540086,1412900
2018-02-05,149.2084503173828,155.20897896920098,149.19899097748802,153.95019355966105,1678300
2018-02-06,152.25604248046875,152.29390872588493,144.43833804400677,146.89912409337526,2205500
2018-02-07,152.6535186767578,156.4582667878083,150.61864889503707,151.19598625904786,1673500
2018-02-08,144.5708465576172,152.64409791380962,144.48566916477967,152.64409791380962,1615100
2018-02-09,148.65005493164062,149.89938107646043,142.3750606278909,144.54244825865644,2175700
2018-02-12,150.84580993652344,152.1708394681554,149.06647218684157,150.68491452494948,1484900
2018-02-13,150.82688903808594,151.6219068214832,146.71928271546017,148.52699862828823,1264500
2018-02-14,155.12379455566406,155.27523065165857,149.6627657351836,150.34421372541792,1235400
2018-02-15,160.2440948486328,160.25356862959882,154.63163059671683,155.90933459581046,1237600
2018-02-16,162.49664306640625,163.73649514089917,159.7708517051323,159.96961334261593,1700500
2018-02-20,164.2760009765625,165.20352170192328,161.41770631805446,161.84360766039177,1819800
2018-02-21,164.0393524169922,166.82191399771392,163.93524193854182,165.15616078424466,1460400
2018-02-22,162.88475036621094,168.00505588223106,162.3925902087138,164.5788967882254,2068800
2018-02-23,162.58180236816406,163.07396229630834,156.0228856861686,158.9095576858515,3189900
2018-02-26,163.42416381835938,163.60399233772893,160.83087539925646,162.55342811980913,2290700
2018-02-27,161.2284698486328,163.88800369317616,161.14327799960827,163.13083748661452,1740400
2018-02-28,157.9253387451172,162.8942229916658,157.86855380726428,162.20331551154834,1672300
2018-03-01,155.5402069091797,159.13673407296696,154.49911644185852,158.43635309398718,1794300
2018-03-02,159.7992706298828,160.14946838805037,153.88393384298766,154.12054731446347,1896100
2018-03-05,161.06753540039062,162.23168422287128,158.05781860098293,158.61622299708807,1301800
2018-03-06,160.3860626220703,161.92877245066938,159.7519258858451,161.7489439232388,1262600
2018-03-07,161.52182006835938,161.9950470008636,159.25032212729516,159.55319429613303,1352300
2018-03-08,162.28839111328125,162.4303533688593,160.72674853498253,161.88140857773243,817700
2018-03-09,167.68321228027344,167.7683896533441,162.8089811536082,163.14970508762914,1761600
2018-03-12,167.8346405029297,169.04610011353833,167.08693397407325,167.9292772102267,1990600
2018-03-13,168.1658935546875,169.57611482600728,167.11534376758385,168.15643421631523,1679200
2018-03-14,167.7967987060547,169.40578182356586,166.8219523843098,169.22595327925063,1021600
2018-03-15,168.4025115966797,168.8662791408922,167.25731062757174,167.77786308704734,1230900
2018-03-16,169.0272216796875,169.69921039506795,168.0050495947138,168.6202533789972,1654800
2018-03-19,166.32980346679688,168.06181573144337,164.19080854020305,167.84412094963318,1292900
2018-03-20,168.61074829101562,169.40578050399225,165.8565785519635,166.70838124375453,1451000
