Price,Close,High,Low,Open,Volume
Ticker,MLM,MLM,MLM,MLM,MLM
Date,,,,,
2018-01-02,211.79473876953125,213.24434977283494,208.11421341751185,209.55441649208464,994800
2018-01-03,214.14801025390625,216.96253213087036,212.29362853253772,212.76428350012873,781400
2018-01-04,214.61865234375,217.13194799629088,212.91488376142163,216.5012721011513,797400
2018-01-05,213.988037109375,215.35293394775854,211.84185112660228,214.80697233975454,558200
2018-01-08,216.7366180419922,216.7366180419922,212.50072322683926,213.62088437607747,573800
2018-01-09,214.62806701660156,218.53451175392132,214.49628420397207,216.50127890485246,656900
2018-01-10,213.3291015625,214.27981954372135,210.97582643380719,213.65855146256607,631400
2018-01-11,216.162353515625,216.877743698926,213.77143325737882,214.618606220847,385500
2018-01-12,217.21669006347656,218.534532679208,214.84459920901128,217.31082680861834,478800
2018-01-16,212.9149169921875,219.39113456466546,212.3501252315175,219.39113456466546,707200
2018-01-17,213.71498107910156,215.33403516300183,212.12417950476492,215.33403516300183,524000
2018-01-18,213.3385009765625,215.3434959024173,212.94315249431313,213.2349563005031,535600
2018-01-19,213.65855407714844,216.41660003061793,212.71724401415233,215.089349394613,493400
2018-01-22,213.4043731689453,214.46804358604555,209.45086010908884,214.03504907664168,480600
2018-01-23,217.8379364013672,218.2709452773177,211.55940106120522,213.88443767465304,523800
2018-01-24,218.62863159179688,220.7842393001879,215.45642183390828,217.64967561836437,552300
2018-01-25,224.16354370117188,225.1895680664574,217.82853196334753,219.56053876840286,653500
2018-01-26,225.87672424316406,227.1663141774919,222.08323222737886,225.1330813974467,591200
2018-01-29,223.0057373046875,225.68846196728268,221.29254635047096,225.68846196728268,515800
2018-01-30,221.99853515625,224.1447206931458,219.7582272423061,221.61259462957796,503400
2018-01-31,214.77870178222656,224.52126606407944,211.81358101640217,222.14916083346947,888300
2018-02-01,210.92872619628906,215.9741478845894,209.63913621680769,213.28200096950286,803100
2018-02-02,204.5372772216797,209.79921190321318,202.92764490035393,209.04616090670407,1261400
2018-02-05,196.82797241210938,203.9348530704033,192.4414633471985,202.57937842104508,988200
2018-02-06,198.10809326171875,200.41429970679016,191.45302519336315,192.94029659940196,1265800
2018-02-07,206.00567626953125,206.17510515627453,196.63022339534317,197.05380997545052,1215300
2018-02-08,196.1878204345703,205.72329493994656,195.9619008730606,204.29249977688536,897800
2018-02-09,201.7980194091797,203.5017880169812,193.78746302919154,197.8539286603358,939200
2018-02-12,200.27316284179688,204.22667736705355,198.04226215419837,203.29477505239942,1073400
2018-02-13,205.5915069580078,216.18124375804817,203.01231255771697,208.98963640792854,1498000
2018-02-14,203.04054260253906,203.65240265562477,198.61638894420426,202.9087597910397,1401300
2018-02-15,209.52618408203125,211.88888131394864,203.915984669258,205.2338128901778,1153500
2018-02-16,203.55828857421875,210.40161633204258,201.2897280150669,208.62254099718407,720200
2018-02-20,201.5250244140625,203.69003996400147,199.19057998373847,202.62635522631112,826000
2018-02-21,199.84951782226562,204.70668072411667,199.79304152207555,202.5322569872968,336000
2018-02-22,199.67066955566406,202.28751016665632,198.522270224135,200.51785716068167,537400
2018-02-23,199.16241455078125,201.72277945298438,198.14579780756054,200.41435884484227,495900
2018-02-26,198.7858428955078,200.66846293329422,195.80189185920645,199.54831607594215,759200
2018-02-27,194.0980682373047,199.72709653973484,192.62962732043133,198.58811978178048,745400
2018-02-28,191.96131896972656,195.30297195181345,191.88602681818713,194.75701049203386,630500
2018-03-01,192.07423400878906,195.6323832821485,190.78463004106433,192.48841254655494,661100
2018-03-02,192.7346649169922,193.48934320956516,185.47091693884582,190.39517516487794,853400
2018-03-05,193.78176879882812,194.73454128328117,189.93292263695642,191.45170741361935,474200
2018-03-06,196.80990600585938,198.66829524040784,192.75352304734523,194.56474219280707,465900
2018-03-07,196.35707092285156,197.57399288669404,193.6213787590026,195.98916729537822,630800
2018-03-08,195.28163146972656,198.55503622100522,193.04591085071857,196.34761476976038,736600
2018-03-09,197.32872009277344,198.08339828285426,196.2344518311599,196.94195993543147,440100
2018-03-12,197.83810424804688,198.5173130775866,195.80047775942768,198.1682804047879,356200
2018-03-13,198.40415954589844,200.7153499627791,197.62118213063948,199.19656522123634,286200
2018-03-14,195.0175323486328,199.7908514506542,193.48931942985,199.7908514506542,372000
2018-03-15,193.81008911132812,197.35707299334214,191.99886973072807,195.30057487536496,741500
2018-03-16,195.4608917236328,197.206084040299,193.43270769662158,194.93262133860412,774400
2018-03-19,192.9138641357422,195.65899885998024,190.48003468485686,195.04581657212003,595900
2018-03-20,192.6403350830078,194.58362192944386,190.57440887824433,193.67800511850845,594500
2018-03-21,195.0269775390625,197.4136371211147,192.25354339535545,193.225186732193,567500
2018-03-22,190.28196716308594,195.15905500737895,190.1215859802162,194.00817391824162,498200
2018-03-23,194.02696228027344,197.15887087034156,190.55546371200475,190.97996557904077,1234500
2018-03-26,197.4324188232422,198.34746346660023,193.96092052643638,196.96074692024462,605500
2018-03-27,193.79119873046875,198.6494301633465,192.88559632827128,198.6494301633465,437800
2018-03-28,190.35740661621094,194.7628363924331,189.04615884469038,194.3477626700601,581200
2018-03-29,195.5552215576172,196.73440160271343,190.14042160859174,191.85731466350992,674300
2018-04-02,189.96119689941406,194.5175506318535,187.26323219638434,194.21568800474282,979400
2018-04-03,189.9234161376953,191.01769844155643,186.73490936738037,189.9611435576319,575100
2018-04-04,192.80072021484375,193.24409320480615,185.63129749545794,186.92367463105896,520100
2018-04-05,196.2627410888672,197.6966281381539,193.61194649519715,193.61194649519715,562200
2018-04-06,190.76304626464844,195.12129142814544,189.41405670805398,194.3854841770171,342900
2018-04-09,188.3009490966797,191.77244907864252,187.42363144620344,191.1781519804914,520400
2018-04-10,193.57420349121094,194.41377915164486,189.73480054775075,189.7536570655756,503600
2018-04-11,191.32904052734375,192.71574299024275,190.527192354801,191.84786822150832,564800
2018-04-12,190.95172119140625,192.4705058492801,190.55551837556388,192.2063706387185,354200
2018-04-13,185.00865173339844,192.21580052757545,184.20681783535744,190.98002198319676,719100
2018-04-16,187.76324462890625,189.36694146706915,185.51809496520343,186.51803762805395,447500
2018-04-17,190.4140167236328,192.44220082758045,188.74429359781612,188.74429359781612,619500
2018-04-18,192.0082550048828,193.57420969180896,191.39508708730142,191.62149485704737,658700
2018-04-19,186.94248962402344,192.40445976245624,186.38592008628595,191.8478758304308,435400
2018-04-20,185.57461547851562,188.3857763052444,184.70674080698478,187.79147942893218,470600
2018-04-23,185.77273559570312,186.83871897113642,184.46148795087902,185.31050622668627,338100
2018-04-24,182.3484344482422,188.15943810187542,179.57500023199495,186.60291155485402,483300
2018-04-25,185.12188720703125,185.48979090148882,180.8956944569185,182.28241170394122,561400
2018-04-26,184.7633819580078,186.0746297235071,181.98994791151415,185.6501277436801,844100
2018-04-27,185.20669555664062,185.763264960767,183.89544821093915,184.76332280575093,465500
2018-04-30,183.735107421875,189.71590468348563,183.63133901033282,185.36708844495965,620200
2018-05-01,184.07470703125,184.29167210635782,178.54671098471056,183.7728300621555,721200
2018-05-02,185.73500061035156,189.84798104884587,185.1689884495097,187.3198260241365,745800
2018-05-03,190.94227600097656,193.33836359697807,184.6501728032176,187.0745595696779,1437900
2018-05-04,192.44216918945312,193.79114415245496,188.6970924904488,189.38572955567747,695800
2018-05-07,193.0176239013672,193.93266876839735,191.423370176453,192.95158290954816,617000
2018-05-08,201.36624145507812,203.76232917766166,189.20653636834942,191.49885566233942,1484500
2018-05-09,200.56442260742188,202.56430782161044,197.80985911046503,202.49828120879963,906900
2018-05-10,198.7814483642578,202.05485318810585,198.42297303892863,201.75297619955765,593900
2018-05-11,203.2435302734375,203.91331107217604,199.05507920174466,199.6022206330668,588800
2018-05-14,201.3756561279297,203.7717436888545,200.4417403335973,203.41328273686148,408400
2018-05-15,204.83775329589844,205.72449912223877,199.77199968943935,200.71534386311382,653600
2018-05-16,205.9037322998047,208.20549433614497,204.23400911864155,205.5735560885484,446300
2018-05-17,201.41339111328125,206.47915865562607,200.39457777059104,205.13961177753944,752500
2018-05-18,206.8848419189453,207.44141161688918,201.4228846025977,201.69644812376418,752800
2018-05-21,205.47923278808594,208.38472014731062,204.922648791459,207.50741698372366,434600
2018-05-22,203.88494873046875,206.8753475624196,203.55477256400206,206.469702146638,407400
2018-05-23,206.90370178222656,207.0357694050948,201.35683283317786,202.375646378572,593500
2018-05-24,206.0358123779297,207.46968521336035,203.88498873049335,205.87544558953113,434700
2018-05-25,205.3660125732422,207.22440164596415,204.2906008494483,206.40369686562616,381300
2018-05-29,207.28097534179688,209.79970212184946,202.95102978937905,203.71513613459547,585100
2018-05-30,208.27149963378906,209.46955061589443,205.93201040416784,207.68663092495575,416200
2018-05-31,210.66293334960938,215.0204344605575,207.28847731238997,208.93316459557664,841900
2018-06-01,212.81809997558594,214.850349035143,210.85203822882073,211.82562201353943,792800
2018-06-04,214.8881378173828,215.12444482591508,212.73301905341125,213.0638546345705,725500
2018-06-05,214.30210876464844,216.27763196555188,213.8294947305738,214.68965573411822,604300
2018-06-06,215.1149139404297,216.05069452197935,212.6951334233638,214.04680206257265,682200
2018-06-07,216.97705078125,217.5914431001784,214.64233689247078,216.0034672723457,933200
2018-06-08,216.9865264892578,217.90339875711445,214.66127380278132,216.45720114349191,520700
2018-06-11,217.1282958984375,217.63871259160604,215.24728728353,217.00541166249425,419600
2018-06-12,217.67652893066406,218.99039514793594,216.33430702995014,217.49694774320864,446300
2018-06-13,217.36459350585938,220.13410406574897,216.6556726484503,217.96953872726053,486500
2018-06-14,217.59146118164062,219.66151260446532,216.35321493186817,218.17751229130616,532900
2018-06-15,216.70294189453125,218.67847915548444,216.14526089832026,217.402415728733,691200
2018-06-18,218.04513549804688,218.4232352606242,215.9467431136252,216.12632427493932,501600
2018-06-19,215.1149139404297,216.90139365209393,214.04680206257265,216.17356431088862,497000
2018-06-20,216.06019592285156,216.6651412041984,214.0468558729322,216.2586857056972,400600
2018-06-21,212.33595275878906,217.14715835388023,212.20362145596047,215.27561152158128,309000
2018-06-22,214.97315979003906,215.51194657954338,209.13165868738582,212.95037279818746,498700
2018-06-25,212.638427734375,215.37013518471207,211.03152912109323,214.1035191171449,492700
2018-06-26,210.1808624267578,213.07325730049243,208.21478679489817,212.6762633396889,586200
2018-06-27,207.7327117919922,212.62898473499422,207.2033865465899,211.13552312230576,560500
2018-06-28,208.97093200683594,209.31121454005975,204.40548069567876,207.4774705789664,720700
2018-06-29,211.09774780273438,213.5931488719421,209.61373308254872,210.29429832169927,405000
2018-07-02,210.21865844726562,211.787740067963,208.11080447670935,209.08438796379744,433400
2018-07-03,212.98822021484375,214.34935079935468,210.95597142548527,211.14502855791616,210000
2018-07-05,213.62147521972656,214.60450575071022,209.92563119134454,213.53640818227274,471700
2018-07-06,215.03936767578125,216.45720966045673,212.79918195536504,212.79918195536504,238400
2018-07-09,214.9542999267578,216.00350356896394,213.24343957843848,216.00350356896394,391800
2018-07-10,213.62147521972656,215.01096119026374,211.40018419933554,214.11299769673394,388700
