Price,Close,High,Low,Open,Volume
Ticker,NXPI,NXPI,NXPI,NXPI,NXPI
Date,,,,,
2018-01-02,104.81653594970703,104.84320121377401,103.79459122981278,103.97231897765205,1784200
2018-01-03,104.93205261230469,105.33194338733945,104.57659037900814,105.17198572134991,2873200
2018-01-04,104.74543762207031,105.15421682191841,104.55882147300129,104.94093541165816,2153500
2018-01-05,104.9053955078125,105.13644019959048,104.78098474150796,104.94093562971814,1631700
2018-01-08,105.10979461669922,105.43859841364058,104.81653772590388,105.43859841364058,1258000
2018-01-09,105.26084899902344,105.59854116972139,105.0920096935526,105.12755659467228,1408600
2018-01-10,105.88291931152344,105.98955324478597,104.92317323288808,105.18977162580192,1868300
2018-01-11,105.97178649902344,106.17617951063791,105.52746035018058,105.88292262523066,2576800
2018-01-12,106.2650375366211,106.37167146735273,105.74072918430235,106.00732757088863,2027200
2018-01-16,106.10506439208984,106.54939045170507,106.10506439208984,106.21169830727582,2516900
2018-01-17,106.05174255371094,106.16727167040138,105.57187636702574,106.05174255371094,4177600
2018-01-18,106.63827514648438,106.81600289311027,106.10508512672774,106.10508512672774,3981600
2018-01-19,107.03815460205078,107.23365917050984,106.63826382465959,106.73601610888912,4837600
2018-01-22,107.5979995727539,107.74906880493867,107.12701503719109,107.2603074303673,2026200
2018-01-23,107.39361572265625,107.93569410052822,107.39361572265625,107.85571865783145,2000400
2018-01-24,107.04704284667969,107.63355655109407,106.86042669887826,107.3047527974183,1470500
2018-01-25,106.81597900390625,107.74017799539914,106.81597900390625,107.74017799539914,1526600
2018-01-26,106.9404067993164,107.51803210854852,106.82488444942138,107.08259441138274,2357000
2018-01-29,107.12701416015625,107.21587801483874,106.20281515572788,106.7004581658518,1376600
2018-01-30,106.82487487792969,107.00260937708762,106.54939487908224,106.64714715864964,2079900
2018-01-31,106.92262268066406,107.26030804510847,106.54050199832119,107.12701565116834,2942100
2018-02-01,107.79351806640625,107.97124580021654,107.19811592039702,107.3936204955154,3660600
2018-02-02,107.1892318725586,107.78462722531906,107.08259116674009,107.6335579769849,2626200
2018-02-05,105.02979278564453,106.92261929837254,104.73653596849759,106.22947175229967,5072500
2018-02-06,104.9942626953125,105.54522274070477,103.9723112712857,104.0611751386188,4431900
2018-02-07,103.44800567626953,105.12755778895568,103.29692964982506,104.99425860321206,3993200
2018-02-08,103.03034973144531,105.52746052245756,102.87039204640558,105.08313437288932,5688000
2018-02-09,102.88814544677734,103.57241140302959,101.9906048716377,103.34135994430616,4053400
2018-02-12,103.56350708007812,103.8834223492225,103.06586411913214,103.35023249394082,1876100
2018-02-13,103.26139068603516,104.04340901990994,103.07477452360015,103.27027910706884,1903400
2018-02-14,102.08836364746094,103.30581961834298,101.79511357028413,102.97701585923163,4370300
2018-02-15,103.9012222290039,104.01675136372421,102.38162765434049,102.541585334825,2289300
2018-02-16,105.30528259277344,105.77626716009564,103.52797824521608,103.52797824521608,5097200
2018-02-20,111.57916259765625,111.90796633630868,111.52584563782857,111.79244399672275,30986300
2018-02-21,111.6147232055664,111.89909165936882,111.60583478454419,111.77468088457269,11299500
2018-02-22,111.71246337890625,111.81021565991055,111.65914641831408,111.74801027926036,7547100
2018-02-23,111.4725341796875,111.73024413137028,111.3747818952603,111.68580880940219,5231000
2018-02-26,110.60166931152344,111.48143322887199,110.35284774135451,111.39256935093726,8208300
2018-02-27,110.77050018310547,110.98377481677733,110.54833712889943,110.56610719008944,3645500
2018-02-28,110.7793960571289,110.88602999120022,110.76161921486447,110.81493618190012,2745200
2018-03-01,109.98849487304688,110.81494180341842,109.74856172933605,110.52169168996723,4977000
2018-03-02,110.27281951904297,110.45944239872301,109.74851811195812,109.97956952213818,2903300
2018-03-05,110.88603210449219,111.5525213246553,110.81493829383717,111.48142751400029,5036900
2018-03-06,110.54833221435547,111.16149760638793,110.20175840759163,111.04597526409266,4066700
2018-03-07,109.99738311767578,110.30841007379286,109.83742542883283,110.21954619774215,3054800
2018-03-08,109.92626190185547,110.34392947304241,109.88183336484508,110.19286024342765,1715200
2018-03-09,109.90850830078125,110.19287674376356,109.57970453425732,110.15732984090597,2533700
2018-03-12,109.85517883300781,110.13954724362407,109.55303358304684,109.70410281808847,1984100
2018-03-13,108.97543334960938,110.19288948874967,108.46002014825733,110.17511942520481,6211400
2018-03-14,108.68213653564453,109.49080628712896,107.51799786720075,109.08202720244022,6210700
2018-03-15,108.30892944335938,109.3841978091289,108.29115938221898,108.67328010558157,2211200
2018-03-16,108.63772583007812,108.93098266807847,107.6602098166215,108.32669893214346,3385900
