Price,Close,High,Low,Open,Volume
Ticker,PSA,PSA,PSA,PSA,PSA
Date,,,,,
2018-01-02,148.86019897460938,151.63797322262894,148.3262838861827,151.55139656313685,812300
2018-01-03,149.18484497070312,149.826980765186,148.44169942234333,148.88181570907233,580000
2018-01-04,146.54417419433594,149.35802571915409,146.15456821753017,148.55715859143822,799600
2018-01-05,145.68556213378906,147.2151415868848,145.5340530041646,146.70288175536132,644600
2018-01-08,146.84718322753906,147.29451058527437,145.69999861120874,145.80821942058404,768600
2018-01-09,145.13003540039062,147.3306173755544,144.95688207069915,147.23682965838495,659300
2018-01-10,141.49366760253906,144.35081854808942,140.90925311598644,144.06221132623392,1133200
2018-01-11,141.50088500976562,142.40276197624485,140.70001782316248,141.9915118043353,1093600
2018-01-12,139.64659118652344,141.77501800820892,139.53835937639474,141.4287004361188,957400
2018-01-16,139.79092407226562,143.16754601187284,139.62498179982506,140.11559756503712,1034200
2018-01-17,141.1906280517578,142.15022635261033,140.2887511910963,140.54849216733638,737900
2018-01-18,139.43020629882812,141.1834501802709,138.96123458819528,140.77941098171172,1241000
2018-01-19,139.65382385253906,140.33203700106614,139.03333214316737,139.90635377268896,646100
2018-01-22,139.81256103515625,140.41861965833954,138.89625103940386,140.07230201784043,909600
2018-01-23,142.92225646972656,143.25415206643794,139.6538549385465,139.97131741994662,982000
2018-01-24,140.6350860595703,142.86452329015324,140.19496965725622,142.7274472382931,687000
2018-01-25,138.93955993652344,140.53407221026012,137.67693221340377,139.971301877266,855500
2018-01-26,139.14157104492188,139.74040761197514,137.59033618799825,139.44460035896645,1083200
2018-01-29,138.9179229736328,139.1993081770198,137.19353446892976,138.88906775167274,1121900
2018-01-30,139.68267822265625,140.18050495080078,137.27285513169264,138.91787747568102,1535500
2018-01-31,141.24114990234375,141.24114990234375,138.44173116775087,139.60334918946361,2749400
2018-02-01,137.79238891601562,141.83280276149787,137.59759138744096,141.48648503478975,1125600
2018-02-02,137.30897521972656,138.4922374678608,135.92369339331876,137.15746604064205,974000
2018-02-05,133.4633331298828,138.33346784409068,132.2295718341236,136.70287855495573,1088800
2018-02-06,133.76637268066406,134.98571196788433,130.54126011941204,132.02034038502978,1566400
2018-02-07,133.7303009033203,136.08960276654585,132.58310520727596,133.22524107057336,1021700
2018-02-08,130.2238006591797,134.1631924105631,130.2165785987679,133.73029814615487,1213700
2018-02-09,135.03622436523438,136.14733183925762,130.382541858205,131.1328985796021,2002100
2018-02-12,135.51242065429688,136.05354679383152,131.9842676556611,135.37533360413644,1405600
2018-02-13,136.50808715820312,137.28731013105002,135.28153676009288,135.60621024646917,1054500
2018-02-14,134.7620391845703,135.75049264249782,133.25410380485533,135.50518479310884,963800
2018-02-15,137.43162536621094,138.05933926130652,134.92080281355157,135.29598673818742,931900
2018-02-16,136.1834259033203,137.77794927054558,134.93523122795938,137.07086978158634,1112600
2018-02-20,134.42294311523438,137.26566079541936,134.13434691804613,135.37533038258616,1377200
