Price,Close,High,Low,Open,Volume
Ticker,ROP,ROP,ROP,ROP,ROP
Date,,,,,
2018-01-02,248.36749267578125,248.4342241147898,246.16558790493826,248.25311254579796,360300
2018-01-03,249.81639099121094,249.98799029968143,245.889184169589,248.45331243614916,347800
2018-01-04,252.4663543701172,253.3147224364703,250.11196135755532,250.5122919476373,367100
2018-01-05,254.5252685546875,255.24971502932945,252.31385089291604,254.4204297699698,343900
2018-01-08,255.98875427246094,256.20831275118894,254.0029970016088,254.17483297660053,397700
2018-01-09,258.0700378417969,259.53070235856524,256.66665200140164,256.80029253473,331300
2018-01-10,256.5902099609375,257.09619092465255,255.06274004871008,256.96255041791215,268100
2018-01-11,260.1511535644531,260.3611850189541,256.36106036365237,257.1534345442685,348200
2018-01-12,262.8052673339844,263.03438204621244,260.0557742487365,261.68827484261703,249800
2018-01-16,262.4233703613281,264.35182028727536,261.4304914952231,263.4735278990714,289100
2018-01-17,264.0557861328125,264.56176699318206,262.9674625859071,263.4066086392468,336000
2018-01-18,263.8935241699219,264.83865114753604,263.3493477923671,264.3040309243788,319100
2018-01-19,263.19659423828125,264.52358863796104,262.2132717805213,263.893523411108,645300
2018-01-22,263.5594177246094,264.074925714232,260.11299596489283,262.6047344532206,320200
2018-01-23,264.093994140625,264.7527278191895,262.6142178350979,263.7407660504474,289200
2018-01-24,263.97943115234375,264.76224914565466,262.36601439572564,264.4472165444536,443100
2018-01-25,266.4330139160156,267.2540567390609,263.29212670189185,264.4472853864993,585300
2018-01-26,271.2637023925781,271.3400642304605,265.90791441239134,266.9580717746456,297000
2018-01-29,268.5523681640625,271.6742008237434,268.5142018136054,270.48084684303814,301100
2018-01-30,266.9581604003906,269.220755707026,264.32322453209156,267.1872751247195,378900
2018-01-31,267.8745422363281,269.3352062941185,265.3446377093863,268.3709669871148,1206500
2018-02-01,268.504638671875,270.14669487198194,265.57375437921945,267.70270831386244,537900
2018-02-02,272.27569580078125,277.2591439200476,264.4377247297212,267.93186919353997,678300
2018-02-05,254.6617889404297,276.42855812197564,253.74530106294992,272.2852357924456,1009700
2018-02-06,256.60931396484375,257.6689983672417,246.6042232097823,249.59238638605933,970600
2018-02-07,254.12713623046875,260.48533016116994,254.12713623046875,255.76919258315394,616700
2018-02-08,247.64483642578125,254.5662901895905,247.48255658394893,254.5662901895905,834300
2018-02-09,249.6782989501953,251.55902604081885,242.58500968640044,250.06016640758386,637100
2018-02-12,257.8790588378906,260.07484799809856,249.78336277031062,251.35858445254505,571000
2018-02-13,258.2131652832031,258.69050688138003,254.06028755214018,256.6761101870716,392900
2018-02-14,258.8050537109375,259.58790089251806,255.28227052844292,256.95296605432884,504700
2018-02-15,263.2539367675781,263.4926076078026,255.42552155436624,259.9698236753197,434000
2018-02-16,263.7885437011719,264.89597983963796,261.3636399301406,261.86962092029455,492600
2018-02-20,264.1990051269531,265.31599722965143,261.61182195285596,262.59514443018116,418700
2018-02-21,265.8124084472656,269.7838936380237,264.542692743943,264.61905457268506,531600
2018-02-22,266.92938232421875,270.74811446294973,266.3852060021422,266.75754637028325,456800
2018-02-23,268.399658203125,269.73620890286355,266.623932239128,268.34235040527466,310700
2018-02-26,272.3997802734375,273.5931344295579,269.2016144427331,269.78395728630085,282300
2018-02-27,267.6263122558594,272.93437732681224,267.5308672493967,272.3138099771007,452700
2018-02-28,262.6239013671875,269.73630566065555,262.61434520834786,268.6765917415236,417700
2018-03-01,255.36817932128906,264.4472251466952,255.11998152077743,262.53785890014865,551500
2018-03-02,255.8646240234375,256.762028457928,252.61867821292327,253.72611409239278,420500
2018-03-05,260.1798095703125,261.18221526968284,253.1628822708632,255.25364079548726,418500
2018-03-06,261.3349304199219,261.9745808866566,258.61410701808074,260.7143922604601,326300
2018-03-07,266.72894287109375,267.7217923835991,258.7573326338402,258.7573326338402,562500
2018-03-08,267.0152587890625,268.44728311845375,263.57839457160156,268.05585963893367,434900
2018-03-09,272.1229553222656,272.88669036267515,267.52137449704384,267.76960149575785,621800
2018-03-12,270.0130310058594,273.03938950597944,269.2874916005309,272.94391536104666,289600
2018-03-13,268.8960266113281,271.7218802317407,267.3112492801564,271.4354869756433,357000
2018-03-14,267.1681213378906,271.3687219367239,266.1752425704721,270.9868544522157,321000
2018-03-15,270.0416259765625,271.20634043033226,267.0248532615003,267.7026700503277,419400
2018-03-16,273.67901611328125,274.5000295917168,270.2707904662144,270.5858230688519,744700
2018-03-19,270.9773254394531,273.3640338749767,268.67653501145344,272.44754599343054,342100
2018-03-20,275.87481689453125,275.94165171360777,271.5691861611387,272.0370007600539,520600
2018-03-21,276.7244873046875,279.69356751716856,274.4237261905599,275.87483431784057,431000
2018-03-22,268.1324157714844,274.4238061898951,267.7791875091139,274.11830045257926,379200
2018-03-23,262.3373718261719,270.2039510857517,261.7072774969411,268.3423074250875,467600
2018-03-26,269.717041015625,270.28985666451604,263.3206821510821,265.4018841785924,337000
2018-03-27,264.8387145996094,271.59785997442856,263.7503615837439,270.5572586073746,327900
2018-03-28,263.9603271484375,266.73845853034544,262.56649794764195,265.4401034686985,341000
2018-03-29,267.9700622558594,271.1682571908713,265.51651914182315,266.3184496309799,373400
2018-04-02,262.1368713378906,268.5046203991203,257.9076322204452,267.97000019682827,582100
2018-04-03,264.1036376953125,264.1036376953125,258.8146833427168,262.948449769676,708800
2018-04-04,264.29461669921875,264.628761801786,257.8123065940913,259.1488870043604,676700
