Price,Close,High,Low,Open,Volume
Ticker,STZ,STZ,STZ,STZ,STZ
Date,,,,,
2018-01-02,198.12696838378906,200.66302959676185,197.47109255447631,200.26075321683243,2346900
2018-01-03,198.94900512695312,200.06836549488645,197.64599365223364,198.24940156103779,1715100
2018-01-04,197.45359802246094,200.6980029833674,196.5091485745195,199.70107226047108,2784500
2018-01-05,192.2853240966797,194.89133388179843,189.11088053717486,192.7837828314432,10175300
2018-01-08,189.62681579589844,192.5301658601995,187.14323586820356,192.28530661909315,4978400
2018-01-09,194.2091827392578,194.6201992747703,189.32946558166748,189.56558458679356,2331400
2018-01-10,191.83053588867188,194.0779964729592,190.85983926518523,193.95556686926838,3418500
2018-01-11,191.55946350097656,193.1947762442192,190.99102979488123,192.19784555063282,2096000
2018-01-12,190.22149658203125,192.3727619689969,189.67055657969257,191.95300514731585,4266200
2018-01-16,190.43138122558594,192.39026876589006,189.94166267646733,190.5975385927147,2205200
2018-01-17,191.70814514160156,192.55641233332952,190.59752493341045,190.65874641957762,1924000
2018-01-18,190.02032470703125,192.27653898670206,188.37627182912277,191.85678222466444,1962600
2018-01-19,190.88613891601562,192.01425304321873,190.30022465787928,190.6412796243715,2235200
2018-01-22,191.7955780029297,192.22407498031131,190.61499623982363,190.61499623982363,1699000
2018-01-23,193.07240295410156,193.33475602238988,190.94737112301183,191.5770131493713,1609900
2018-01-24,194.1654815673828,195.45973948178715,192.10165840147036,193.4571377989847,2354800
2018-01-25,193.53587341308594,195.2673821868005,193.25603994622324,194.86511907621718,1429300
2018-01-26,195.5734100341797,195.78329508539207,193.33468952988815,193.71947211853077,1329300
2018-01-29,193.03741455078125,195.75711402588257,192.96745284813645,195.31110983950074,1304500
2018-01-30,192.43397521972656,193.47463369346048,190.65873900353162,192.16288200599652,1006100
2018-01-31,191.92678833007812,193.82445442080277,191.62946111081177,192.7138341090373,1670400
2018-02-01,192.99362182617188,193.42211876280402,191.24461988053628,191.68187036694516,986000
2018-02-02,188.79605102539062,192.91495727577362,188.11394120209079,192.09292406722548,1745200
2018-02-05,184.51971435546875,189.21578054084173,183.83760463057075,187.49301247200728,1994600
2018-02-06,189.14584350585938,189.89791501129102,181.6951034870194,182.39470705967202,2718300
2018-02-07,187.27439880371094,190.19524251883132,187.186956703007,188.67360585324744,1791700
2018-02-08,182.9789581298828,189.1329038690421,182.90006464796934,187.84425682587818,2242700
2018-02-09,184.3201904296875,185.81047189986324,179.35847556435252,185.0214969963037,2881800
2018-02-12,186.73092651367188,188.73841643595233,184.977666748129,184.977666748129,3131600
2018-02-13,187.13417053222656,188.3088512919279,185.18805124314062,186.818583258961,1411700
2018-02-14,187.5988006591797,188.6244560482805,185.39846440149955,186.70463440599787,1204800
2018-02-15,190.06211853027344,190.24621668715105,186.78353140222487,188.1159991635565,1487400
2018-02-16,192.37640380859375,193.03387614790975,189.77281227479776,189.9569104153822,1499300
2018-02-20,190.5179443359375,192.45528858419632,190.12346362543167,191.35073991951833,1020500
2018-02-21,187.4146728515625,193.42835361551596,183.23315847494527,191.39457950253023,2879500
2018-02-22,186.81858825683594,190.22867784537107,186.45040532422792,187.8530050613571,1583400
2018-02-23,190.6319122314453,190.64067371351612,186.64324417462512,187.59876739637676,1498600
2018-02-26,191.140380859375,191.82416449956136,189.17673840980908,190.62317241962762,1148700
2018-02-27,191.14910888671875,192.65691304182087,189.80786651493605,190.64942353676048,2150000
2018-02-28,188.89617919921875,192.3325662943716,188.89617919921875,192.26244768388432,1314100
2018-03-01,189.3082275390625,190.02707049025784,187.23061892016295,189.56245770524075,1541300
2018-03-02,192.7183380126953,192.89366133927328,187.52868996337583,189.07155396409922,1643400
2018-03-05,192.43780517578125,192.59559214189332,190.67577046299635,191.43844759480476,1042400
2018-03-06,195.1027069091797,195.61115374820005,191.98190726912372,192.84100064304403,1200900
2018-03-07,196.28619384765625,196.601781130194,192.41149149757675,192.97253406916496,1384500
2018-03-08,199.60861206054688,200.09076114821417,196.41767997531667,197.14528434828554,1553100
2018-03-09,201.92291259765625,201.93168745682772,199.70504018945,200.63426567256442,1766600
2018-03-12,201.75631713867188,203.2290619687026,200.4764452862182,202.06314287968462,1760000
2018-03-13,199.81900024414062,201.97550207750882,199.09139589955095,201.87031078114236,1119200
2018-03-14,199.33682250976562,200.3361798104629,197.91668670780305,200.20469070891355,672200
2018-03-15,198.89854431152344,200.74823381315116,198.47776573274035,199.4595868753375,1048900
2018-03-16,200.34498596191406,200.91480340706173,198.2586159530662,199.450833119398,1263500
2018-03-19,198.42515563964844,200.1082832085807,197.39072554572542,199.90664872865887,891300
2018-03-20,199.5297088623047,200.30114736498092,197.70631727726672,198.85470017246297,982500
2018-03-21,198.17967224121094,199.91539521024652,197.60985494049694,199.91539521024652,1350500
2018-03-22,196.5666961669922,198.89853464362614,196.29494306939748,197.8378067008144,1101400
2018-03-23,193.66506958007812,197.44334218551563,192.53422293157467,196.68067847783445,2232800
2018-03-26,193.16542053222656,196.40894876766217,191.87677339760108,195.2167314654342,1839800
2018-03-27,191.517333984375,195.40079799359995,190.7371339138811,194.01573453243515,1851600
2018-03-28,193.28811645507812,194.41020156982842,190.44783098419222,191.517320449237,1836600
2018-03-29,199.8014373779297,202.41379010926417,196.37381207905906,201.53716041909618,4307500
2018-04-02,200.01187133789062,201.44954376799086,198.5479010821912,201.1690157931859,2385200
2018-04-03,197.32058715820312,198.99495319051664,196.5403872159887,198.39885138132288,2757000
2018-04-04,198.5128173828125,199.36314936683348,195.13780064717798,196.36507702807975,1882300
2018-04-05,201.56349182128906,202.5628626758365,199.14399828879513,199.52971755694122,1900900
2018-04-06,199.1615447998047,202.69436215004478,198.90731464358697,200.74824274416682,1681800
2018-04-09,198.3024139404297,200.48521337241604,198.06572017174528,199.87157524648228,1155100
2018-04-10,198.17967224121094,199.59103314247466,197.3731611886217,199.3718757290401,870800
2018-04-11,197.63616943359375,198.52157401940298,196.4351909870701,197.33811853649138,1311100
2018-04-12,196.55795288085938,199.52972764077822,196.50535722823767,198.75828906549907,1177700
2018-04-13,196.2686004638672,198.03939599992395,194.9361197274864,197.5134128897903,1261300
2018-04-16,199.0125274658203,200.1521490329713,197.66250990315638,198.23232737488738,951700
2018-04-17,202.85211181640625,204.42128650562103,198.91605293524026,199.5647503670718,1530900
2018-04-18,203.5183868408203,204.2109185287627,202.3437060656726,202.90474862815432,1595300
2018-04-19,201.291748046875,203.20280813413683,200.04693522687433,202.33493974056205,1123600
2018-04-20,199.50341796875,201.61609906568114,198.83718411458298,201.01998382663936,1183200
2018-04-23,200.0995330810547,200.6781120164709,198.6969332884127,199.42453769937964,880000
2018-04-24,198.31993103027344,201.21281168263616,196.76830610986056,201.02872693846194,1025100
2018-04-25,198.88099670410156,199.43327775368454,197.0576051309108,197.58358835682876,828200
2018-04-26,200.5115203857422,201.5459504537153,199.46832883567834,199.87158440909698,774000
2018-04-27,205.32420349121094,205.46446744948548,200.25728504123185,200.5202766189198,1410400
2018-04-30,204.3687286376953,207.42815836453687,203.89534101075878,205.5697072954198,1341400
2018-05-01,201.3443145751953,204.09694483166774,199.60859141542528,203.66739143866295,954800
2018-05-02,198.81959533691406,200.96733517497316,196.97866783211705,200.34492227533423,2866300
2018-05-03,196.4264678955078,199.30181289421003,196.11088059680583,198.78459108778824,1256100
2018-05-04,193.9805908203125,196.61924101925925,192.20979533769705,196.32996503135263,1962200
2018-05-07,196.18978881835938,196.29498013372682,194.0858688768287,194.14723939500084,1395200
2018-05-08,194.1383819580078,196.27734677906287,193.41953932145344,195.12896423285028,1424300
2018-05-09,195.23788452148438,195.9327379571853,192.29132371963018,194.27035348832655,1264300
2018-05-10,193.84815979003906,196.93544132689473,193.4171662631099,196.82989736975054,1631000
2018-05-11,193.70745849609375,194.71016652288358,193.06537694572427,193.74264876856023,1167400
2018-05-14,195.10594177246094,195.6512700892903,194.1296199471077,194.20877791158546,1739100
