Price,Close,High,Low,Open,Volume
Ticker,TDG,TDG,TDG,TDG,TDG
Date,,,,,
2018-01-02,204.19012451171875,204.8507046853154,201.4884820687843,204.44990348617287,327000
2018-01-03,200.56072998046875,201.8744383922658,196.90162656330358,201.8744383922658,1007200
2018-01-04,202.5053253173828,202.95808687612475,199.3731865858608,201.6888867569319,636800
2018-01-05,204.04171752929688,204.70227512347435,202.80221222373248,203.52215952445363,224700
2018-01-08,204.86557006835938,205.96405317280775,203.3440428799103,203.85617152686945,543700
2018-01-09,209.6083221435547,209.78644596957315,205.35543459306487,205.9046874741841,378500
2018-01-10,208.7324981689453,209.53407796630512,207.4781568194245,209.39305573288902,353400
2018-01-11,213.3936004638672,213.61625523435325,209.01452700632788,209.65284176594818,316100
2018-01-12,217.0972137451172,218.4480462889927,213.83148241034016,214.29165065812472,393000
2018-01-16,218.0992431640625,220.40751417763587,217.29764062873298,218.2773669938967,564600
2018-01-17,218.53713989257812,219.79148134378732,217.742966755912,219.67272457704442,378000
2018-01-18,218.2847900390625,219.8508481821868,217.0304485891068,218.57424125414764,315500
2018-01-19,222.04783630371094,222.4115133651461,216.48123972808153,219.69501151817423,366000
2018-01-22,220.3258819580078,222.1665552703925,218.55198243136968,220.68212961819174,279800
2018-01-23,222.93846130371094,223.17597484243646,219.813751671077,220.43720772232814,325300
2018-01-24,225.55845642089844,227.22102842915396,222.39664542098834,222.69352599907592,423600
2018-01-25,227.74798583984375,228.0597025091371,224.37090425226222,225.81822816844507,385800
2018-01-26,233.1512908935547,233.50753851127112,227.52530565807368,228.99489503275962,317300
2018-01-29,235.48928833007812,237.7752939048372,232.0751047452363,232.0751047452363,560800
2018-01-30,235.55604553222656,237.4932324949831,233.50753119242296,234.25717328209723,348100
2018-01-31,235.2146453857422,238.53233728518296,235.08105252683373,237.49324396500214,440300
2018-02-01,233.94549560546875,236.37252343161435,233.0325656605051,234.50956196000115,393500
2018-02-02,228.06712341308594,233.10675411779337,227.60695515134145,232.17155884358064,466900
2018-02-05,220.33328247070312,231.3700059100421,217.80976346323035,227.40659224849526,717600
2018-02-06,215.7315673828125,217.34958579230806,199.20990380271598,205.59293818253366,1146700
