Price,Close,High,Low,Open,Volume
Ticker,TRV,TRV,TRV,TRV,TRV
Date,,,,,
2018-01-02,110.95779418945312,114.58969674358826,110.52063071144475,114.58969674358826,2388800
2018-01-03,111.31085205078125,111.63032840455199,110.50377144842291,110.50377144842291,1308100
2018-01-04,111.31085205078125,112.44582438147158,111.27722903748085,111.96660985081547,1195500
2018-01-05,111.10909271240234,111.46219209345027,110.44491951151674,111.46219209345027,1144100
2018-01-08,110.51221466064453,111.31089301065192,110.21797149396792,111.1091291999753,1343300
2018-01-09,111.3697280883789,112.81576165444073,111.14273101636579,111.47060997446602,2120800
2018-01-10,111.06707000732422,111.83212518845714,110.82326783895118,111.39494896662158,1171700
2018-01-11,111.26040649414062,111.71440053888062,110.68872549358132,111.05022739187952,1046500
2018-01-12,113.2697525024414,113.48834704511563,110.9998200762339,111.8573546650921,2010100
2018-01-16,113.93389892578125,114.3626597047267,113.0091056829791,113.58079954988821,1809300
2018-01-17,115.06047058105469,115.51445188556998,113.94231600066342,114.84188889048316,1730100
2018-01-18,115.46401977539062,115.7666782776562,114.48878539827734,115.2286201434416,1561200
2018-01-19,115.89280700683594,116.01050683655824,114.9175725158116,115.81713275119215,1628100
2018-01-22,117.15385437011719,117.15385437011717,115.44720082907179,115.56490063092608,2922500
2018-01-23,122.96319580078125,123.55170763798154,120.04590839783167,121.34902159284958,5048100
2018-01-24,124.1065673828125,124.46808215365726,122.97160778872612,123.50966584321466,2377500
2018-01-25,124.82121276855469,125.1659097034457,123.54331975890943,123.9468601936272,2213500
2018-01-26,125.61981964111328,126.26717474093105,124.64458571926268,125.6030017243057,2538400
2018-01-29,125.2331314086914,125.84685084178923,124.89683712264682,125.70393058083852,1866500
2018-01-30,125.03133392333984,126.46054912210047,124.42601713802493,125.00611345964448,2397400
2018-01-31,126.0401840209961,126.25876563709993,124.19061075799753,124.68663028779801,2083600
2018-02-01,126.10746002197266,126.511000302115,125.09860290745972,125.83842461633496,1993900
2018-02-02,124.3840103149414,126.56987846410894,124.26631051172878,125.84686172199812,2297900
2018-02-05,118.97821044921875,124.32516825186784,117.33881573271901,123.27427255817358,3358900
2018-02-06,118.41492462158203,118.71758307590382,114.61488243472316,115.1949788745329,3932100
2018-02-07,119.49944305419922,121.01273532312112,117.66668723784409,117.76756911300029,3034200
2018-02-08,113.50513458251953,119.36492984794468,113.42107062614974,118.97820742634791,3160300
2018-02-09,115.24542236328125,116.14498237100419,111.61352083102383,114.26178557204055,3655400
2018-02-12,116.13658142089844,117.00251842411086,114.4047074144736,115.40516214183768,2404600
2018-02-13,116.5064926147461,116.70826919035119,114.94275943167447,115.71621706235396,1282300
2018-02-14,118.20472717285156,118.44012673102192,115.70779851882449,115.70779851882449,1907100
2018-02-15,118.44012451171875,119.58349927068501,117.62462861893991,119.33968434323253,1406200
2018-02-16,118.67556762695312,119.28088465261412,118.07025060129214,118.48219355742374,1923900
2018-02-20,116.91844940185547,118.37288534981761,116.34675551313966,118.10384991317117,1533100
2018-02-21,116.47286224365234,118.47377168705411,116.45605714946569,117.09499709309492,1334500
2018-02-22,115.71624755859375,117.69193696025377,115.47244535692796,116.59058729334437,1744700
2018-02-23,117.4817123413086,117.57419165685666,115.65735932396403,116.27107869352083,2006300
2018-02-26,119.869384765625,120.55876576670128,117.87689035584498,117.87689035584498,1809600
2018-02-27,118.9950180053711,120.56716671891327,118.60829556594943,120.33176710492178,1869500
2018-02-28,116.85961151123047,120.02911679666546,116.76713216884427,119.35654092734016,1462500
2018-03-01,116.83439636230469,117.64989255641902,115.32950634293151,117.19589837190264,2382100
2018-03-02,115.91802978515625,116.69989020634503,114.97641830035481,116.01891169025943,1844200
