Price,Close,High,Low,Open,Volume
Ticker,UHS,UHS,UHS,UHS,UHS
Date,,,,,
2018-01-02,111.4627685546875,111.57847650057639,109.29329422459752,110.0743099857443,754000
2018-01-03,109.33187103271484,111.04816522112668,108.2905215173823,111.04816522112668,845900
2018-01-04,108.75334167480469,110.06466900750218,108.14589149305971,110.06466900750218,689000
2018-01-05,107.96267700195312,109.3704237900359,106.76705775224548,109.3704237900359,1201800
2018-01-08,106.20781707763672,107.79876630878309,105.34002591916195,107.78912214137107,1543500
2018-01-09,106.82491302490234,107.38415704191378,104.73257740123422,106.42958307470114,1228600
2018-01-10,106.41031646728516,107.56736661512876,105.99570548231121,106.79600230201484,732800
2018-01-11,110.81675720214844,110.85532652027327,106.51637754189055,106.51637754189055,982300
2018-01-12,112.47518920898438,112.63910327642708,110.71068171212849,110.88423994716915,1637300
2018-01-16,112.25342559814453,112.81266965769694,111.12530066709036,112.48484149913898,620400
2018-01-17,111.89666748046875,112.78373966044276,111.58812031541933,112.6294623997457,642500
2018-01-18,113.12120819091797,113.20799098624491,111.48205281070777,112.50411388144981,803300
2018-01-19,113.8636703491211,115.89815609206312,112.7162642927743,113.81546421424538,1839900
2018-01-22,113.59366607666016,113.97935184783798,112.07021868284133,113.97935184783798,710200
2018-01-23,113.0537109375,113.89257694199395,111.67488926464814,113.69009356635974,410300
2018-01-24,113.76721954345703,113.8732833099996,112.61981380157353,113.74793856606017,684000
2018-01-25,114.8664321899414,115.00142111605946,113.26584605610817,114.37468996894482,359800
2018-01-26,116.89128875732422,117.00698935539593,114.45182904036369,115.01107311886113,991000
2018-01-29,115.96562957763672,117.52765372055264,115.82100384283908,116.96840969151975,632800
2018-01-30,118.14476013183594,121.30737069964262,113.50690806739281,115.42568569426113,905300
2018-01-31,117.15160369873047,118.45328671300311,113.73829683166049,118.30865363222969,1124900
2018-02-01,116.94912719726562,118.1833158271807,114.97249214206614,116.65986101872855,594000
2018-02-02,115.03034973144531,116.94912713612757,114.11434507078646,116.11026110388421,637800
2018-02-05,109.47650146484375,115.64745241405292,109.47650146484375,114.88572495510829,1045600
2018-02-06,112.67767333984375,113.25619834171195,107.51914709230682,108.0687469475333,1034500
2018-02-07,112.92837524414062,114.46146693532368,111.60740375657777,112.17628461617052,497700
2018-02-08,110.75889587402344,115.10748123165654,110.75889587402344,112.79338122536124,669700
2018-02-09,111.15422058105469,112.10878721958223,107.45165461564811,111.85809770649476,917600
2018-02-12,111.472412109375,112.57161184206619,109.86218182542234,111.472412109375,430100
2018-02-13,112.0412826538086,112.29197950063354,109.92002201362708,110.53711628554693,386800
2018-02-14,112.66803741455078,113.36227041011789,110.73961569635104,111.50134315780134,739300
2018-02-15,114.25900268554688,114.32649716081193,111.09639180510577,112.99588863858128,552000
2018-02-16,113.68046569824219,114.83751582671651,113.23692957044885,113.74796016646411,563900
2018-02-20,112.9862289428711,113.91187048631444,112.40770389776213,113.43940922438239,622400
2018-02-21,111.33743286132812,114.10471341293612,111.269938393151,113.15979085845618,666900
2018-02-22,112.53303527832031,114.18183477115193,111.31812767863337,111.31812767863337,1066200
2018-02-23,112.2437973022461,113.11158124960741,111.41457531829792,112.95731132691817,412000
2018-02-26,112.54270935058594,113.18872895651842,110.37323459569788,112.2341621241446,643000
2018-02-27,113.39120483398438,115.48354080385597,112.10880252096152,112.9573128544362,613100
2018-02-28,110.20659637451172,114.39483698981707,110.12939944867767,113.50700976057294,1159500
2018-03-01,111.96294403076172,115.5528621528016,109.68547661406468,111.4707832991894,1468100
2018-03-02,119.50949096679688,121.0342424214138,111.8567986535052,111.86644366690756,2302300
2018-03-05,119.51913452148438,119.66389070049793,117.48291772781427,119.60599117393456,1288700
2018-03-06,120.58067321777344,121.52640725075368,119.33578916265229,119.92445155639675,976800
2018-03-07,121.7869644165039,122.44318608823359,119.3164862935713,119.59634629384189,721800
2018-03-08,122.81953430175781,123.21520068166286,121.69044941109988,122.37562077284798,768100
2018-03-09,122.23088073730469,123.35031333347577,121.73871266145609,123.18625976239467,674800
2018-03-12,121.86417388916016,123.66877804132758,121.32375861740168,122.2212381866325,849100
2018-03-13,119.55774688720703,122.36599196743414,119.40334568229528,122.36599196743414,810600
2018-03-14,118.94978332519531,120.67719057299459,118.11985565613855,119.77971099425208,873700
2018-03-15,119.49983978271484,121.59395614937323,119.06557123604678,119.4033381154348,713100
2018-03-16,119.1910171508789,119.81828896432829,118.28388537873352,119.37436809011773,928300
2018-03-19,118.76639556884766,119.53842351340732,117.36710320226292,119.29716570105795,609900
2018-03-20,118.60234832763672,119.41297108616828,117.811022955573,119.24891753207564,657200
2018-03-21,119.87621307373047,120.97634838523007,118.55411727959928,118.93047897234356,858200
2018-03-22,118.72782135009766,121.79662173920812,118.67957419384662,119.38404304847995,578000
2018-03-23,116.93285369873047,120.04025600408688,116.8074022664876,119.32613482517188,744000
2018-03-26,116.02571868896484,117.93647657696711,114.11495343835792,117.84962729233276,813100
2018-03-27,116.22838592529297,117.6469832827088,115.57216426888992,116.80740330150616,787300
2018-03-28,117.13551330566406,117.99439069656185,115.66866875930322,116.41173972709139,640300
2018-03-29,114.26937866210938,117.21272019624409,113.70965864853156,117.14516828857819,964400
2018-04-02,112.31035614013672,115.18615306585099,111.45147874904806,114.26937614449744,758000
2018-04-03,113.91231536865234,114.19217537789099,111.76029195542009,112.71567840983656,719000
2018-04-04,115.1764907836914,115.42740099760131,112.94727070895959,113.03411999688709,1178600
2018-04-05,117.41539001464844,118.32252205157984,115.23442395527,115.63008307263785,595300
2018-04-06,114.35623931884766,116.73021606170083,113.46841205487456,116.49861054992664,560700
2018-04-09,114.98350524902344,116.39245036226852,114.52028688725503,114.57819378410487,473600
2018-04-10,115.87132263183594,116.89425358388849,115.43706143665281,116.36349071895415,674600
2018-04-11,114.90630340576172,116.0160911322118,114.56854384447854,114.86770126124276,677100
2018-04-12,115.90028381347656,116.50825838174917,114.82909823972655,115.66867831073786,876700
2018-04-13,115.45636749267578,116.19944586701313,114.72294149481979,116.19944586701313,616400
2018-04-16,116.33451843261719,116.76877954372993,115.20542629103676,116.20905965988378,460200
2018-04-17,116.604736328125,117.6469719222294,115.37914242692688,116.77844226047573,1465700
2018-04-18,117.25130462646484,118.68919922249465,116.43102948225741,117.08725107014428,1216500
2018-04-19,117.26094818115234,118.10052064893983,116.43102072470202,117.2223460479914,686300
2018-04-20,116.30557250976562,117.84962852596043,116.01606752868265,117.46361452191172,657700
2018-04-23,115.93888854980469,116.61440768231475,114.01847784800636,116.47930385581273,979900
2018-04-24,116.29592895507812,117.60837216772958,115.48529880015583,116.56613655251728,770400
2018-04-25,117.7724380493164,117.87859209693055,114.64573823918747,116.29594112127234,754600
2018-04-26,110.9979248046875,111.3839388942988,107.44660843295509,109.08716647315148,3026700
2018-04-27,110.34168243408203,111.15231260698884,109.32840392120477,110.44783647294608,1281700
2018-04-30,110.20659637451172,110.98827691040826,109.9749908717972,110.32240280717207,1070000
2018-05-01,110.98827362060547,111.13302981648864,108.67219657429258,110.48645312322459,1180600
2018-05-02,113.58419036865234,114.55887412301807,110.96895621495075,110.96895621495075,1227300
2018-05-03,113.256103515625,113.67106737743026,111.18128420659872,112.9569460905816,1253600
