Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-01-02,194.5916290283203,195.72665295139683,193.57097882687816,194.46844803336845,3485000
2018-01-03,196.6328887939453,196.92324683309027,194.02848713945897,194.99633384422253,2417600
2018-01-04,197.48631286621094,198.93810270225885,197.2399509714361,197.38952687714107,2749100
2018-01-05,201.2522430419922,201.5338073011268,197.7239765086945,198.1375156232217,2432800
2018-01-08,197.7591094970703,201.2345985327372,197.62713467893673,200.72427352642225,2850800
2018-01-09,198.7445831298828,199.40448411326,196.4745221359789,197.7591218652167,2672200
2018-01-10,197.2664337158203,197.97912475898386,196.23698960617045,197.82075493860188,2311600
2018-01-11,198.31344604492188,198.77977500630698,196.82646699133838,197.2487998680094,2543600
2018-01-12,201.1730194091797,202.28164825826917,199.30770354145827,200.12597433884616,3943800
2018-01-16,204.92127990722656,206.7690083306832,203.4695028785978,205.3348189979457,6852600
2018-01-17,209.78689575195312,210.25323808794525,205.7571126076498,206.4785973001467,5124800
2018-01-18,213.94869995117188,214.59979365999206,209.89250805075812,210.51720679439478,6234200
2018-01-19,214.1158905029297,214.99575853306175,212.1097924682862,214.8461691533051,4293600
2018-01-22,214.30062866210938,214.5118017963801,212.36492192131092,214.32702362567835,4012200
2018-01-23,215.75245666503906,217.30981349189747,213.2888233689017,213.79914846369397,3300000
2018-01-24,215.4357147216797,217.6001827801772,214.4326656011199,216.45635153813345,2733300
2018-01-25,215.7259979248047,216.61467306597487,214.59976812524883,215.34766118504496,2420500
2018-01-26,218.62075805664062,218.8583261269668,215.09249293577906,215.56761565071395,2615300
2018-01-29,217.68817138671875,220.6621164563151,217.6793641131944,219.33352044915435,2564700
2018-01-30,208.2207489013672,213.5791550208845,204.21736039437891,204.90365633418946,11565500
2018-01-31,208.3351593017578,217.32741199774657,207.4376901164923,213.66715762613774,5187400
2018-02-01,206.96255493164062,209.25021713395716,205.73953893154658,206.9977437448164,4268300
2018-02-02,204.0237579345703,207.91277215530005,203.41664698013128,205.00920561382338,3959900
2018-02-05,193.5885467529297,205.1060147960416,183.43486326803466,203.06471474318147,6290000
2018-02-06,198.12864685058594,199.29887276614974,184.95703676763873,186.70796529240462,7064800
2018-02-07,198.69180297851562,201.74493266021366,194.8995605297906,195.62105875147245,5589200
2018-02-08,190.4562225341797,199.40447798257406,190.28023820344717,198.26064696141003,4902400
2018-02-09,194.41566467285156,196.45695171906502,186.54083429998067,191.8112491441274,6225300
2018-02-12,198.57740783691406,200.60990073572663,195.462667649193,195.71783688344428,4912000
2018-02-13,199.41329956054688,199.8356324764545,195.67386024968076,196.34255515201127,3536800
2018-02-14,201.29620361328125,201.78892755409382,197.02004451877158,197.9263075011348,2878400
2018-02-15,198.86776733398438,202.36963818334675,195.10193340184753,201.72733830831427,4662700
2018-02-16,201.8153076171875,202.85355878070328,198.58619384822308,198.84136307240655,3621700
2018-02-20,199.4308624267578,201.26978312471937,198.5069984420252,200.53069730722078,3172300
2018-02-21,198.0846710205078,201.79771475248054,198.06706990273813,198.9821266409743,3371900
2018-02-22,199.80921936035156,202.22885634173312,198.04068952721917,199.11412955301697,2767900
2018-02-23,202.5104217529297,202.65120385485977,198.77098275937863,200.5219114838981,2393900
2018-02-26,205.94190979003906,206.33784772000288,202.10568462663088,203.8126307598783,3307000
2018-02-27,204.58689880371094,207.5520494889877,204.51650775686184,206.241041414647,2899500
2018-02-28,198.99095153808594,206.54901449045184,198.92935433329575,206.25865643727022,4368600
2018-03-01,197.48631286621094,201.74486953385212,195.98174653924423,198.5861475484974,3514600
2018-03-02,198.13742065429688,198.6917416327007,195.8497591353533,196.3952862695202,2613600
2018-03-05,200.9442596435547,201.86811030990853,196.02578728311286,196.53611233802735,2627300
2018-03-06,199.008544921875,201.62175404950804,196.9936530370414,201.41938816146325,2652800
2018-03-07,199.96759033203125,200.45152038380976,196.8704514263681,197.39837756025725,3242200
2018-03-08,198.38743591308594,201.26531154495342,197.6723852220331,201.2123333525054,3500900
2018-03-09,199.00535583496094,199.96759756281057,196.4188134316336,199.60565404454474,4834600
2018-03-12,196.6571502685547,200.39131056604512,196.6571502685547,199.6939194209062,3117300
2018-03-13,200.3383026123047,201.32701292471134,197.00139183776443,197.32801646521997,3343800
2018-03-14,198.961181640625,202.50112852219212,198.643379948926,200.5060483560736,3048200
2018-03-15,202.58059692382812,203.71055562000836,199.20838022840064,199.35845139443722,3330200
2018-03-16,201.15049743652344,204.16078415229774,201.05339097891232,202.73950607462794,5690300
2018-03-19,198.669921875,201.2476414938977,197.46050240967074,200.66500263937468,3407300
2018-03-20,200.1971435546875,200.92103069149925,197.63708315462014,198.76704214901147,3429100
2018-03-21,196.70127868652344,200.77972279928198,196.70127868652344,199.90576471647526,3419800
2018-03-22,189.98333740234375,195.67727313132315,189.88623093694287,195.6684366989049,5894800
2018-03-23,187.63511657714844,192.20791599203395,187.5909748302132,190.46001326879295,5741200
2018-03-26,193.390869140625,193.69101149280007,189.5331064323192,189.96567403645693,3561300
2018-03-27,192.41099548339844,195.9332838359262,191.04268193502097,194.49435964559214,3722100
2018-03-28,192.8876953125,194.1324200574266,191.5988288128267,193.2319794472486,3179500
2018-03-29,188.91519165039062,197.16920190729707,188.91519165039062,193.66455919018765,5529400
2018-04-02,191.74005126953125,196.85136135633064,189.47131085833686,192.852364070892,6220700
2018-04-03,198.25498962402344,198.7140395875137,193.93819039723593,194.51199274897039,4652000
2018-04-04,201.97149658203125,202.5806177404107,194.58262254990322,194.82097723582814,4674000
2018-04-05,202.21868896484375,204.43446485104664,200.21477193841287,202.56297308214494,3348100
2018-04-06,197.70765686035156,201.4418170619518,195.81850588550574,200.08232665369147,3231700
2018-04-09,196.621826171875,199.62328992590272,196.29520148273758,199.1377576378807,3031500
2018-04-10,200.2059326171875,201.41535196168016,197.29276557598084,198.97886734808287,2737500
2018-04-11,195.88909912109375,198.9700096699354,195.70372265381195,197.98129925731487,3482100
