Price,Close,High,Low,Open,Volume
Ticker,VMC,VMC,VMC,VMC,VMC
Date,,,,,
2018-01-02,122.8866958618164,123.30605216171169,120.1749428238152,120.91111987910067,1869700
2018-01-03,125.141845703125,125.8034851035056,123.22217998330422,123.55765651235322,2600900
2018-01-04,124.29386138916016,126.22284097709188,123.5204011345103,125.87805075271925,1325900
2018-01-05,122.91463470458984,124.8715831127422,121.94548837573889,124.35904765162401,1285300
2018-01-08,124.815673828125,124.94613610851908,120.9577015715316,122.91463577744297,993300
2018-01-09,125.00208282470703,126.36263061807118,124.39636796520507,124.72251665134988,1229000
2018-01-10,123.38058471679688,124.61998359258712,122.50463174425914,124.16337268314875,1330800
2018-01-11,125.97126007080078,126.63289970129769,123.62293777004294,124.28456318121013,916300
2018-01-12,124.84366607666016,126.12966195039446,124.50818951043931,126.05511002242024,915900
2018-01-16,124.5827407836914,127.03358385790615,123.88383245934816,125.19778352175177,1602800
2018-01-17,125.412109375,126.22283846779199,124.60138028220801,125.39346783857776,698100
2018-01-18,125.95259094238281,127.19198996606316,125.03934057588677,125.66371113598457,1371700
2018-01-19,125.8313980102539,128.2729121282729,125.27226590996071,126.6328131037035,1428300
2018-01-22,123.93974304199219,125.98987128603959,123.02650681151518,125.98987128603959,1443600
2018-01-23,125.6916732788086,126.00850829564648,122.82148815252981,123.7160828141104,1118200
2018-01-24,126.26006317138672,127.6299239689594,124.2378910938555,125.52387212596821,1297900
2018-01-25,129.1023406982422,129.70806978361733,126.02715541605454,126.83788453015931,1094000
2018-01-26,131.49722290039062,131.58108845529557,129.10229111308513,129.54960251121997,1570800
2018-01-29,129.4564208984375,131.39472780931916,128.76682642785812,131.39472780931916,1400900
2018-01-30,130.304443359375,131.217679403853,128.1518084305866,128.81343354774597,1782800
2018-01-31,126.17618560791016,130.91945205487968,123.70671635521381,130.91945205487968,2190500
2018-02-01,125.0859375,127.6113322792969,124.7970576931488,125.44005556998536,2100200
2018-02-02,122.07598114013672,124.73183832595387,121.13478976328065,123.8465431177978,1861500
2018-02-05,116.67106628417969,122.34619714462357,114.68616966440275,121.26522999453161,2381000
2018-02-06,118.14344787597656,119.89538241626471,114.37866129940147,114.7420930158097,1746600
2018-02-07,119.50399780273438,122.32758601197446,117.07178939983967,117.34203477793909,1551700
2018-02-08,113.19517517089844,119.85809443861851,113.12994402215465,119.72763214113091,1734200
2018-02-09,116.4847412109375,117.52844705166669,111.21030871626735,113.97798730498553,1390400
2018-02-12,118.49758911132812,119.66243640704504,116.83884059010977,117.78935996482642,1613800
2018-02-13,120.5570297241211,123.03582815237107,119.28036165348335,119.46673437470149,1688200
2018-02-14,120.78996276855469,121.19999116322855,117.86387495724334,119.34556395003024,1333200
2018-02-15,124.37770080566406,125.28162318901855,121.30250197090415,122.05732052994125,1867300
2018-02-16,117.94776916503906,122.57919571376932,116.95066023467577,119.28035466166133,3235500
2018-02-20,115.9908218383789,118.04094999428747,114.16434234628552,117.10907226711761,1881900
2018-02-21,113.72636413574219,117.37000252684334,113.57726027959998,116.13992415232288,1667600
2018-02-22,114.06260681152344,115.46363781683984,112.70827256411027,114.11864577141219,1404000
2018-02-23,113.66096496582031,115.04331141304286,113.11923132725488,114.86585235117663,1279500
2018-02-26,113.71700286865234,114.23071702565038,111.72754164666341,113.66096391552941,1311600
2018-02-27,111.02703094482422,113.94117064718607,110.49463948950721,113.39010191537182,2051300
2018-02-28,109.96226501464844,112.1105084441471,109.8968838477944,111.4566967756068,1359200
2018-03-01,109.34579467773438,111.76491181072777,108.19694616939931,110.55068214344757,1327800
2018-03-02,109.97158813476562,110.55068349680592,106.69318081979632,108.3744136958291,1806900
2018-03-05,109.96226501464844,110.68145785004278,107.9634540722265,109.87819944240026,1561000
2018-03-06,111.53137969970703,112.40935403250157,110.0089218827576,110.5413132272219,1155500
2018-03-07,111.23250579833984,111.62479985187747,109.3551295911737,110.1303683712932,891300
2018-03-08,111.31656646728516,113.20328479255629,109.65401107275659,111.42865149566198,1699500
2018-03-09,113.20329284667969,113.5115213521373,111.90500479449207,112.22257550114853,947800
2018-03-12,113.00714874267578,113.65162522755516,112.15719371465734,113.56755966926102,739800
2018-03-13,113.64226531982422,115.30482056425627,113.40876020962847,113.75435033808193,1058200
2018-03-14,112.4841079711914,113.95052011716692,111.26054319124077,113.95052011716692,888900
2018-03-15,110.13969421386719,112.93242060318629,109.87816961743843,112.56814605700531,1009400
2018-03-16,109.39249420166016,110.4572771054981,108.00079839010803,108.533189842027,1871400
2018-03-19,107.3189468383789,108.84139754563034,106.09537525212396,108.71997745734988,1391500
2018-03-20,106.60907745361328,108.3463557976915,105.51627540279262,107.5244204914862,1116000
2018-03-21,107.23489379882812,108.64526678165167,106.3288927527629,106.9920535939531,1043400
2018-03-22,106.104736328125,107.9447580085514,106.03001297157708,106.38494535217394,1334300
2018-03-23,107.9727783203125,109.63533382329094,106.45966953158504,106.73052923064469,1688700
2018-03-26,109.00019073486328,110.27980139972867,107.30961589102797,110.102335222394,1618000
2018-03-27,107.16018676757812,109.51391554839705,106.53438754867555,109.00020136706173,1418600
2018-03-28,103.95648956298828,107.0480952882231,102.95708786435878,106.87997130499518,1648800
2018-03-29,106.63713836669922,107.3283187944144,104.04990424180362,104.82514310947722,1600500
2018-04-02,104.83447265625,106.84261841948512,102.70490677747482,106.31956915129804,1836000
2018-04-03,105.2734603881836,105.71245120791562,103.82573274180385,104.88117344859772,1440700
2018-04-04,106.8613052368164,106.96404095166412,102.75161298046415,103.23730057960931,937100
2018-04-05,109.27108764648438,109.63535517590151,107.00141689533996,107.30964545900459,1570500
2018-04-06,106.0673828125,108.39309936345701,105.37620952626972,108.39309936345701,1409500
2018-04-09,105.46025848388672,107.23489173995038,104.88116320628022,106.21681281149304,1748400
2018-04-10,108.43978881835938,108.7480173225761,106.28220354086544,106.69317487982107,1140100
2018-04-11,107.412353515625,107.88870594823814,106.73985764040896,107.42169571556151,879600
2018-04-12,107.30964660644531,108.08488556237141,106.99208296243492,107.7486375122351,885100
2018-04-13,105.36686706542969,108.07552837098565,104.68503598266604,107.39369728822201,1470900
2018-04-16,107.16950988769531,107.851347986314,105.2547721434299,106.42229776530303,1188800
2018-04-17,109.99960327148438,110.47595577426135,106.71185388462,107.76729460056538,1905000
2018-04-18,110.5693588256836,111.01769186033225,109.52326028818982,109.99027059986007,2103000
2018-04-19,107.72061157226562,110.96166461757997,107.31898237678838,110.64409386659182,1338600
2018-04-20,106.2448501586914,108.47715896776887,105.7498203486634,108.22497652481556,1111500
2018-04-23,106.29154968261719,107.13216254199217,105.72179653285566,106.34758863963903,795700
2018-04-24,104.01254272460938,107.72994101291307,102.74227403913545,107.10414887219036,1006800
2018-04-25,104.72238159179688,104.98390619304969,102.45271147948002,103.81638056173466,1122300
2018-04-26,103.60155487060547,105.46959591966511,103.04114398108979,105.46959591966511,1560200
2018-04-27,104.9839096069336,105.15203358835048,103.04114518300763,103.67627943213684,1748100
2018-04-30,104.32076263427734,107.28160621297745,104.29274315656276,105.08665923785934,1278900
2018-05-01,104.39546203613281,104.6289671474587,101.03298985824215,104.51688925466898,1559600
2018-05-02,106.16078186035156,107.98211912923027,105.077314574036,106.33824092372214,1592600
2018-05-03,114.1373291015625,115.6878069168134,108.29036452673249,111.97974351929204,4538800
2018-05-04,114.60431671142578,116.02403191416792,111.90499793730383,113.34339041528759,1975700
2018-05-07,115.28616333007812,116.3602884488865,114.01589473973266,114.79113355057808,1387800
2018-05-08,118.3684310913086,119.25574779079803,114.99661623163037,115.56636935480114,2048800
2018-05-09,118.67664337158203,119.18101530062141,116.50038100544465,118.36842201995599,1335200
2018-05-10,117.39704132080078,119.124977855857,117.21023294138243,118.984873352796,1210200
2018-05-11,118.9661865234375,119.45187401889655,117.25692740059175,117.76129929549757,1165200
2018-05-14,118.4711685180664,119.47991246808873,118.0975659819203,119.46123519168606,901400
2018-05-15,118.93818664550781,119.08763337061555,117.25695374411812,117.39705826740362,1201400
2018-05-16,119.7601089477539,120.80620734097144,118.77938457810163,119.08761305153644,1116300
2018-05-17,117.72393798828125,119.68537950166719,117.16352714531534,119.18100760519472,1081100
2018-05-18,120.67545318603516,120.88093884885964,117.49978899114844,117.72395192967909,1660400
2018-05-21,120.99300384521484,121.87098535596233,120.48863906883923,121.2078388119866,1256200
2018-05-22,119.74144744873047,121.74025111921229,119.67607341266196,121.19851741853645,725900
2018-05-23,121.0238265991211,121.11743880392602,117.7850499911968,118.51517948238053,1095200
2018-05-24,119.73208618164062,121.44508696871907,118.5432795469146,120.34989255400717,734400
2018-05-25,119.1985092163086,120.64005726102486,118.92705666107176,119.94736404495958,890900
2018-05-29,119.08619689941406,121.16426245474256,117.99100250401972,118.04716412174982,1232400
2018-05-30,119.61039733886719,120.67751098156984,118.73049385952608,119.44190533519783,1016300
2018-05-31,119.57292938232422,121.73524417671382,118.89896150571491,119.9567122810771,1160800
2018-06-01,121.05193328857422,121.76333755033346,120.13457929986279,120.78982194664349,808900
2018-06-04,121.2297592163086,121.99733928492948,120.29369432280023,121.55738764232322,618000
2018-06-05,120.57453155517578,122.09095229951825,120.32179000337919,121.28595010345973,771700
2018-06-06,121.90373992919922,122.37177242527731,120.15330296449699,121.26722259047777,1314600
2018-06-07,122.20330810546875,123.27042180440925,121.27659846564386,121.95056651584002,681800
2018-06-08,121.72589111328125,122.04416408107213,120.22819562417973,121.95990737250513,1209200
2018-06-11,121.93183135986328,122.60579935559402,121.35147558479161,121.68845958265699,713700
2018-06-12,122.59645080566406,123.9256615717988,122.16585456269802,122.39051533510035,908300
2018-06-13,122.82109832763672,124.28135748266247,122.41858293924338,123.01766398446469,994800
2018-06-14,123.4295425415039,123.79460735291718,122.27818648754199,123.10191404883213,902600
2018-06-15,123.64481353759766,124.35623202773884,122.2126353331635,123.07381335729782,1591900
2018-06-18,124.07540893554688,124.36558677761393,122.10031136816774,122.69003684283128,1013100
2018-06-19,122.77428436279297,123.82267255403424,122.28752658119473,122.69939745153033,1064700
